folderidx,float,profileidx,year,month,day,lat,lon,nlat,nlon,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ssh_slope,ssh_dir,bath_slope,bath_dir,roughness
0.000000000000000000e+00,1.901932000000000000e+06,1.400000000000000000e+01,2.021000000000000000e+03,1.000000000000000000e+01,5.000000000000000000e+00,-3.996640000000000015e+01,4.829659999999999798e+01,-4.061910000000000309e+01,4.810450000000000159e+01,-7.245375303487107566e+00,-3.095386929434682521e+00,-2.066758140323393000e+00,-1.851923711925858473e+00,-4.551791093056026805e-01,-1.708565666278202277e-01,-1.365139561358329479e-01,2.492010516905590611e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.500000000000000000e+01,2.021000000000000000e+03,1.000000000000000000e+01,1.500000000000000000e+01,-4.061910000000000309e+01,4.810450000000000159e+01,-4.102790000000000248e+01,4.926859999999999928e+01,-6.493475205548707052e+00,-3.015473903533586242e+00,-1.812661529481791600e+00,-1.881597835966204890e+00,-5.748552044780042003e-01,-6.719542522954982111e-01,-6.488167632074662294e-02,-1.292248290291070356e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.600000000000000000e+01,2.021000000000000000e+03,1.000000000000000000e+01,2.500000000000000000e+01,-4.102790000000000248e+01,4.926859999999999928e+01,-4.114269999999999783e+01,5.193840000000000146e+01,-8.211003987917136371e+00,-3.136490095829152835e+00,-2.193985839837184759e+00,-2.186977946003329620e+00,-5.606567307905788722e-01,-4.106156743893606964e-01,-8.792821153996403793e-02,-2.530222992134713578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,1.900000000000000000e+01,2.021000000000000000e+03,1.100000000000000000e+01,2.400000000000000000e+01,-4.047599999999999909e+01,5.504299999999999926e+01,-4.081569999999999965e+01,5.581119999999999948e+01,-4.342359854865254221e+00,-3.190663290391734019e+00,-1.128949239005513139e+00,-1.785222817028364828e+00,-5.635926865173852551e-01,-4.328853702091688960e-01,-1.129621375927889471e-01,-1.571368761885376664e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.000000000000000000e+01,2.021000000000000000e+03,1.200000000000000000e+01,4.000000000000000000e+00,-4.081569999999999965e+01,5.581119999999999948e+01,-4.175399999999999778e+01,5.655619999999999692e+01,-4.836415759518343904e+00,-3.364486344200595891e+00,-1.606115869998308687e+00,-1.226692732613031467e+00,-4.825793015782577910e-01,6.867511063676726146e-02,-2.022772218732851734e-01,3.499074275252702093e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.100000000000000000e+01,2.021000000000000000e+03,1.200000000000000000e+01,1.400000000000000000e+01,-4.175399999999999778e+01,5.655619999999999692e+01,-4.309409999999999741e+01,5.866899999999999693e+01,-3.726449667752957051e+00,-3.454100244742774883e+00,-1.131305453838714170e+00,-1.076521936769845755e+00,-5.527317201505695943e-01,-1.559062250021330531e-01,-1.374702859194532056e-01,3.092291454265581607e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.200000000000000000e+01,2.021000000000000000e+03,1.200000000000000000e+01,2.400000000000000000e+01,-4.309409999999999741e+01,5.866899999999999693e+01,-4.352289999999999992e+01,6.113329999999999842e+01,-3.896187016424657479e+00,-3.376856803607928281e+00,-1.510854294363842776e+00,-1.290631021065843376e+00,-5.795359561790383029e-01,-3.441963941080276590e-01,2.552293412086659719e-01,-3.124970270804539596e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.400000000000000000e+01,2.022000000000000000e+03,1.000000000000000000e+00,1.200000000000000000e+01,-4.444200000000000017e+01,6.186290000000000333e+01,-4.323579999999999757e+01,6.495000000000000284e+01,-4.871763071650936361e+00,-3.698493106689839216e+00,-2.114508821341687383e+00,-1.198736512698875600e+00,-5.792313411076825957e-01,-2.946849611968673788e-01,4.041338122210508255e-01,-3.785585361507926017e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.500000000000000000e+01,2.022000000000000000e+03,1.000000000000000000e+00,2.200000000000000000e+01,-4.323579999999999757e+01,6.495000000000000284e+01,-4.304440000000000310e+01,6.790080000000000382e+01,-5.263040012308283444e+00,-3.807884853043217444e+00,-1.735109879906582941e+00,-2.158928006365266050e+00,-5.798378136157007479e-01,-5.012166606384742540e-01,4.184469438627918397e-02,-2.380435919639802278e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,2.600000000000000000e+01,2.022000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,-4.304440000000000310e+01,6.790080000000000382e+01,-4.330259999999999820e+01,6.915070000000000050e+01,-8.233944970243738837e+00,-3.388169346164125351e+00,-3.009918360648868862e+00,-2.902103104003394218e+00,-5.046430637553735998e-01,-5.948827946543422396e-01,-2.333281764693913019e-01,-2.683209614416516842e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
